ent,sex,eda,nac_mes,nac_anio,cs_p12,cs_p13_1,cs_p13_2,cs_p15,cs_p16,n_hij,e_con,zona,salario,clase2,rama,c_ocu11c,dur9c,rama_est2,dur_est,d_ant_lab,d_cexp_est,niv_ins,anios_esc,hrsocup,ingocup,ing_x_hrs,imssissste,scian,t_tra,emp_ppal,sec_ins,,
14,2,37,3,1987,1,6,4,3,1,2,5,2,7468,1,4,1,6,9,4,0,0,4,15,42,15000,83.05648,1,16,1,2,7,,
14,2,27,8,1996,1,7,5,3,1,0,6,2,7468,1,4,1,6,8,4,0,0,4,17,40,0,0,1,14,1,2,2,,
14,2,31,99,1993,1,6,3,2,1,2,5,2,7468,1,3,6,4,5,3,0,0,3,12,30,4300,33.33333,4,7,1,1,8,,
14,2,39,99,1985,1,7,4,3,1,2,5,2,7468,1,4,1,6,8,4,0,0,4,16,40,0,0,1,12,1,2,4,,
14,2,50,11,1973,1,6,3,2,1,2,6,2,7468,1,4,1,6,9,4,0,0,3,12,48,8000,38.75969,1,16,1,2,4,,
14,2,49,6,1974,1,7,4,3,1,0,6,2,7468,1,3,6,7,5,5,0,0,4,16,56,15050,62.5,4,7,1,2,4,,
14,2,25,8,1998,1,7,4,3,1,0,6,2,7468,1,3,6,6,5,4,0,0,4,16,48,0,0,1,7,1,2,4,,
14,2,24,99,2000,1,7,3,3,2,2,6,2,7468,1,4,2,1,9,1,0,0,4,15,0,0,0,4,15,1,1,7,,
14,2,49,99,1975,1,7,4,3,1,0,5,2,7468,1,4,1,9,8,6,0,0,4,16,0,0,0,1,12,1,2,2,,
14,2,23,2,2001,1,7,4,3,1,0,6,2,7468,1,2,1,6,3,4,0,0,4,16,45,14000,72.35142,1,5,1,2,2,,
19,2,50,10,1973,1,6,3,2,1,2,5,2,7468,1,4,8,6,6,4,0,0,3,12,42,12900,71.42857,4,18,1,1,8,,
19,2,53,11,1970,1,6,2,2,1,3,1,2,7468,1,4,5,2,10,2,0,0,3,11,12,1290,25,4,19,1,1,8,,
19,2,32,12,1991,1,7,3,3,1,0,3,2,7468,1,4,2,1,9,1,0,0,4,15,0,20000,0,2,15,2,2,7,,
19,2,20,3,2004,1,7,1,3,2,0,6,2,7468,1,4,5,4,10,3,0,0,4,13,30,4300,33.33333,4,17,1,1,8,,
19,2,23,6,2000,1,7,5,3,1,0,6,2,7468,1,4,2,5,9,4,0,0,4,17,35,11200,74.4186,3,15,1,2,7,,
19,2,63,7,1960,1,5,3,2,1,3,5,2,7468,1,4,2,6,9,4,0,0,3,12,40,0,0,3,15,1,2,7,,
19,2,39,7,1984,1,7,5,3,1,0,6,2,7468,1,4,4,6,8,4,0,0,4,17,40,0,0,1,11,1,2,2,,
19,2,59,7,1964,1,7,3,3,2,2,5,2,7468,1,2,6,6,3,4,0,0,4,15,40,10750,62.5,4,5,1,1,4,,
19,2,29,1,1995,1,7,4,3,1,1,2,2,7468,1,4,1,6,9,4,0,0,4,16,48,9000,43.60465,1,16,1,2,4,,
19,2,54,5,1969,1,5,4,2,1,2,5,2,7468,1,4,1,6,10,4,0,0,3,13,40,8000,46.51163,4,19,1,1,7,,
19,2,58,2,1966,1,7,1,3,2,3,5,2,7468,1,3,6,2,5,2,0,0,4,13,8,2150,62.5,4,7,1,1,8,,
19,2,57,1,1967,1,7,4,3,1,2,5,2,7468,1,4,2,4,9,3,0,0,4,16,30,20000,155.03876,2,15,1,2,7,,
19,2,43,1,1981,1,6,2,2,1,0,6,2,7468,1,3,6,6,5,4,0,0,3,11,48,4300,20.83333,1,6,1,2,2,,
